,Site,Year,Date,Day,Stage,Mean,Stdev,Sterror,Logmean,,
894,Vulgaris small,2017,6/7/2017,6/7/2017,Beetle,0.6,0.91025899,0.235027861,0.204119983,,
899,Vulgaris small,2017,6/9/2017,6/9/2017,Beetle,,,,0,,
904,Vulgaris small,2017,6/10/2017,6/10/2017,Beetle,0.533333333,1.245945806,0.321701824,0.185636577,,
909,Vulgaris small,2017,6/13/2017,6/13/2017,Beetle,0.466666667,0.639940473,0.16523192,0.166331422,,
861,Vulgaris small,2017,5/20/2017,5/20/2017,Larvae,21.6,32.09316794,8.286420331,1.354108439,,
866,Vulgaris small,2017,5/23/2017,5/23/2017,Larvae,52.66666667,104.8377431,27.06898888,1.729704621,,
871,Vulgaris small,2017,5/26/2017,5/26/2017,Larvae,11.6,15.35671096,3.965085719,1.100370545,,
876,Vulgaris small,2017,5/29/2017,5/29/2017,Larvae,6.6,7.346524932,1.896864581,0.880813592,,
881,Vulgaris small,2017,6/1/2017,6/1/2017,Larvae,7.266666667,9.617444468,2.483213484,0.917330426,,
886,Vulgaris small,2017,6/4/2017,6/4/2017,Larvae,2,1.558387445,0.402373908,0.477121255,,
891,Vulgaris small,2017,6/7/2017,6/7/2017,Larvae,0.066666667,0.25819889,0.066666667,0.028028724,,
896,Vulgaris small,2017,6/9/2017,6/9/2017,Larvae,,,,0,,
901,Vulgaris small,2017,6/10/2017,6/10/2017,Larvae,0,0,0,0,,
906,Vulgaris small,2017,6/13/2017,6/13/2017,Larvae,0,0,0,0,,
862,Vulgaris small,2017,5/20/2017,5/20/2017,Pupae,0,0,0,0,,
867,Vulgaris small,2017,5/23/2017,5/23/2017,Pupae,0,0,0,0,,
872,Vulgaris small,2017,5/26/2017,5/26/2017,Pupae,0,0,0,0,,
877,Vulgaris small,2017,5/29/2017,5/29/2017,Pupae,0,0,0,0,,
882,Vulgaris small,2017,6/1/2017,6/1/2017,Pupae,0.333333333,0.816496581,0.210818511,0.124938737,,
887,Vulgaris small,2017,6/4/2017,6/4/2017,Pupae,1.6,2.529822128,0.653197265,0.414973348,,
892,Vulgaris small,2017,6/7/2017,6/7/2017,Pupae,4.066666667,5.993647431,1.547553112,0.704722333,,
897,Vulgaris small,2017,6/9/2017,6/9/2017,Pupae,,,,0,,
902,Vulgaris small,2017,6/10/2017,6/10/2017,Pupae,1.133333333,1.767430203,0.456348516,0.329058719,,
907,Vulgaris small,2017,6/13/2017,6/13/2017,Pupae,0,0,0,0,,
863,Vulgaris small,2017,5/20/2017,5/20/2017,Totallarvpup,21.6,32.09316794,8.286420331,1.354108439,,
868,Vulgaris small,2017,5/23/2017,5/23/2017,Totallarvpup,52.66666667,104.8377431,27.06898888,1.729704621,,
873,Vulgaris small,2017,5/26/2017,5/26/2017,Totallarvpup,11.6,15.35671096,3.965085719,1.100370545,,
878,Vulgaris small,2017,5/29/2017,5/29/2017,Totallarvpup,6.6,7.346524932,1.896864581,0.880813592,,
883,Vulgaris small,2017,6/1/2017,6/1/2017,Totallarvpup,7.6,10.28730146,2.656169817,0.934498451,,
888,Vulgaris small,2017,6/4/2017,6/4/2017,Totallarvpup,3.6,3.397478056,0.877225062,0.662757832,,
893,Vulgaris small,2017,6/7/2017,6/7/2017,Totallarvpup,4.133333333,6.010308605,1.551855009,0.710399466,,
898,Vulgaris small,2017,6/9/2017,6/9/2017,Totallarvpup,,,,0,,
903,Vulgaris small,2017,6/10/2017,6/10/2017,Totallarvpup,1.133333333,1.767430203,0.456348516,0.329058719,,
908,Vulgaris small,2017,6/13/2017,6/13/2017,Totallarvpup,0,0,0,0,,
915,Waterfall,2017,6/4/2017,6/4/2017,Adultcumulative,,,,0,,
914,Waterfall,2017,6/4/2017,6/4/2017,Beetle,0.7,0.674948558,0.213437475,0.230448921,,
911,Waterfall,2017,6/4/2017,6/4/2017,Larvae,1.7,1.636391694,0.51747249,0.431363764,,
912,Waterfall,2017,6/4/2017,6/4/2017,Pupae,13.8,6.579429222,2.080598205,1.170261715,,
913,Waterfall,2017,6/4/2017,6/4/2017,Totallarvpup,15.5,6.720615051,2.125245084,1.217483944,,
